mom_name,mom_ID,family,mom_2_tusks,mom_0_tusks,mom_left_tusk,mom_right_tusk,mom_accuracy,notes,first_date_calf_recorded,calf_age_years,calf_age_months,calf_age_weeks,calf_age_days,calf_ID,estim_year_birth,calf_female,calf_male,calf_sex,sex_confirmed_2020,sex_confirmed,calf_2_tusks,calf_0_tusks,calf_left_tusk,calf_right_tusk
Iria,gf0045,I,,1,,,3,"20121029 look to be about 11 - no breasts. gf0147 has been observed 12 times, always in the company of gf0045 even when in a sub-group of 10 individuals; her ears do not look particularly like gf0045’s and so she could be a niece.",20121029,11,,,,gf0147,2001,1,,f,,,,,,1
Berta,gf0009,B,,1,,,3,always seen with her up until 2016,20121012,11,,,,gm0080,2001,,1,m,,yes,1,,,
,gf0070,T,,1,,,3,always with her - note in photos no breasts - so younger,20131012,15,,,,gf0071,1998,1,,f,√,yes,,1,,
Isabella,gf0038,I,,1,,,3,seen in close association in 2011 as juvenile,20110828,19,,,,gf0037,1992,1,,f,,,,,,1
Malita,gf0014,M,,1,,,3,She is likely daughter of gf0016 or gf0014 but seen most often next to gf0014,20121013,20,,,,gf0024,1996,1,,f,√,yes (tuskless),,1,,
,gf0031,C,,1,,,2,20151014 from age structure described in field notes and notes above,20151014,0.83,10,,,gf0031c,2015,,,unk,,,,,,
,gf0030,C,,1,,,2,ID card: In 2012 (October) she had just developing breasts therefore likely gave birth in 2013. 20151014 from age structure described in field notes:1) gf0031; 2) with a male calf of about 6 3) tuskless female with small breasts 13; 4) 2 year old 5) gf0030; 6) a less than one year. Based on breast development would assume that the 2 yr old belongs to gf0030 who is a young teenager. The rest likely to gf0031.,20151014,2,,,,gf0030c,2013,,,unk,,,,,,
,gf0212,T,,1,,,2,20160827 followed by female 6,20160827,6,,,,gf0212c,2010,1,,f,√,,1,,,
,gf0069,V,,1,,,2,20150729 photographed on trail cameras  with tuskless female 10 social-rubbing on her and another of about 7-8,20150729,7.5,,,,gf0069,2009,,,unk,,,1,,,
Cacia,gf0029,C,,1,,,2,20190930 photographed following her ,20190930,10,,,,gf0029c,2009,1,,f,,,1,,,
